30101	Cobb 911
30102	Radio Shop 1
30103	Radio Shop 2
30107	Radio Shop 3
30201	CFD Dispatch
30202	Fireground 1
30203	Fireground 2
30204	Fireground 3
30205	Fireground 4
30206	Fireground 5
30207	Fireground 6
30208	Fireground 7
30210	Fireground 8
30211	CFD Support
30212	CFD Insptrs
30213	CFD Training
30214	CFD Arson
30216	CFD Private
30217	MFD PVT
30220	MFD Admin
30221	CFD Warning
30222	EMERGENCY
30301	Metro EMS
30302	Metro Admin
30304	Metro Priv
30305	Puckett EMS
30306	Puckett Priv
30307	Atherton Sec
30308	Cobb ER
30310	Cobb Securty
30311	Douglas Sec
30312	Emory Advent
30313	KennestoneER
30318	Kenn Hosp Pv
30320	Kenn Hosp Sc
30321	Wellstar Sec
30322	Paulding Hsp
30324	Windy Hill
30327	NSC Hosp
30330	Cartersville
30401	CCPD PVT 1
30402	CCPD PVT 2
30403	CCPD PVT 3
30404	CCPD PVT 4
30405	CCPD PVT 5
30406	CCPD STEP PV
30407	CCPD OPS 1
30408	CCPD OPS 2
30409	CCPD PCT 1
30410	CCPD PERSON
30412	CCPD Admin
30415	CCPD EOD
30416	CCPD SWAT 1
30417	CCPD SWAT 2
30418	CCPD Unk Use
30419	CCPD PCT 2
30429	CCPD PCT 3
30434	CCSO MCS I
30439	CCPD PCT 4
30449	CCPD PCT 5
30459	CCPD STEP
30469	PD EMERGENCY
30501	CCSO Disp 2
30502	CCSO Private
30503	CCSO Courts
30504	CCSO Court
30505	CCSO Jail F1
30506	CCSO Jail F2
30507	CCSO Events
30508	CCSO School
30509	CCSO Disp 1
30513	CCSO Central
30516	SO EMERGENCY
30521	COBB MCS
30601	Animal Disp
30602	Animal Pvt
30603	Bldg Inspctr
30604	Bldg Inspctr
30605	Central Serv
30606	County Mgr
30607	Bldg Inspctr
30608	Fleet Mngmnt
30611	ParksRec
30612	Prop Mngnmt
30613	Risk Mngmnt
30614	DOT Dispatch
30615	DOT Private
30616	DOT Roads
30617	DOT Roads
30618	DOT Traffic
30620	DOT Roads
30621	Dist Attrney
30622	Med Exam
30623	Solicitor
30624	Cumberland 1
30625	Cumberland 2
30626	CCT AllCall
30627	CCT Express
30628	CCT Ops
30630	CCT Maint
30631	CCT Paratran
30632	CCT Private
30633	CCT Superv
30634	CCT Unk Use
30701	MPD PTL 1
30702	MPD PTL 2
30703	MPD STEP
30704	MPD INV
30705	MPD CIU
30706	MPD C2C
30707	CITYWIDE
30710	MPD ADMIN
30711	MPD SWAT
30712	800 MRD
30801	ACPD Disp
30802	ACPD Ch 2
30803	ACPD Ch 3
30810	LA Rangers
30816	ASTLPD Ch 1
30817	ASTLPD Ch 2
30818	ASTLPD Ch 3
30821	AFD Dispatch
30822	AFD TAC
30823	AUSTELL EMER
30837	KPD Dispatch
30838	KPD Private
30843	Georgia EMS
30845	KPD EMERG
30858	PSPD PVT
30860	PSPD TAC
30873	SPD Admin
30874	SPD Patrol 1
30875	SPD Patrol 2
30876	SPD Private
30877	SPD STEP
30880	SPD Jail
30881	SPD Detectve
30882	SFD Dispatch
30883	SFD Ground
30884	SFD Medical
30885	SFD Private
30886	SFD Admin
30887	SPDSFD EMER
30901	BOE PD Disp
30902	BOE PD Pvt
30903	KSU PD1
30904	KSU PD2
30905	KSU PD3
30906	SPSU PD Disp
30907	SPSU PD PVT
30908	LUPD Disp
31001	H2O Dispatch
31002	H2O Zone 1
31003	H2O Zone 2
31004	H2O Zone 3
31005	H2O Zone 4
31006	H2O Cent Mtc
31007	H2O Cust Svc
31008	H2O CS Prvt
31010	H2O Eng
31011	H2O Eng Pvt
31012	H2O InfoTech
31014	H2O Lab Envr
31015	H2O Meters
31016	H2O Cent Mtc
31017	H2O Noon WRF
31018	H2O NW WRF
31020	H2O RLS WRF
31021	H2O SCobbWRF
31022	H2O Readers
31024	Solid Waste
31025	H2O Storm
31026	H2O Suprtend
31027	H2O Supv
31101	Command
31102	DISASTER 1
31103	DISASTER 2
31104	DISASTER 3
31105	DISASTER 4
31106	Tactical
31109	UASI MA FD1
31119	UASI MA FD2
31123	SunTrust Traffic
31127	SunTrust EMS
31129	UASI MA FD3
31139	UASI MA FD4
31149	UASI MA PD1
31159	UASI MA PD2
31169	UASI MA PD3
31179	UASI MA PD4
31189	SWAT MA 1
31199	SWAT MA 2
31303	DPD Enforce
31304	DPD Training
31309	DPD Dispatch
31319	DPD Patrol
31329	DPD Traffic
31339	DPD Detectiv
31409	UASI 911
31419	UASI LAW CMD
31429	UASI FD COMN
31439	UASI UNIFD C
31449	UASI EOC
31451	Radio Shop 4
31453	Radio Shop 5
31454	Radio Shop 6
31456	SWAT WEST
31501	UASI FD E1
31502	UASI FD E2
31503	UASI FD E3
31504	UASI FD E4
31505	UASI EMS E1
31506	UASI EMS E2
31509	UASI Hospitl
31519	UASI Pub Hth
31601	STATE EAST
31603	STATE WEST
31606	GSP P9 Admn
31609	UASI STATE
31619	GSP P9 Disp
31629	UASI NPS
31639	GSP P9 Cmnd
31649	GSP P9 Prvt
